positiv,negativ,active,passive,affil,hostile,strong,power,weak,submit,yes,no,negate,intrj,pleasur,pain,feel,need,persist,entry,othtags
,negativ,,,,,,,weak,,,,,,,,,,,abandon,supv
,negativ,,,,,,,weak,,,,,,,,,,,abandonment,noun
,negativ,,passive,,,,,,,,,,,,,,,,abate,supv
,negativ,,passive,,,,,weak,submit,,,,,,,,,,abdicate,supv
,negativ,,passive,,hostile,,,,,,,,,,,,,,abhor,supv
positiv,,active,,affil,,,,,,,,,,,,,,,abide,supv
positiv,,,,,,strong,,,,,,,,,,,,,ability,noun
,negativ,,passive,,,,,weak,submit,,,,,,,,,,abject,modif
positiv,,,,,,strong,,,,,,,,,,,,,able,modif
,negativ,,,,,,,,,,,,,,,,,,abnormal,modif
,negativ,active,,,hostile,strong,power,,,,,,,,,,,,abolish,supv
,negativ,,,,,strong,,,,,,,,,,,,,abominable,modif
positiv,,,passive,,,,,,,,,,,,,,,,abound,supv
,negativ,,,,hostile,strong,,,,,,,,,,,,,abrasive,modif
,negativ,,,,,,,,,,,,,,,,,,abrupt,modif
,negativ,active,,,hostile,,,weak,submit,,,,,,,,,,abscond,supv
,negativ,,,,,,,weak,,,,,,,,,,,absence,noun
,negativ,,passive,,,,,weak,,,,,,,,,,,absent,modif
,,,passive,,,,,,,,,,,,,,,,absent,supv
,negativ,,passive,,,,,weak,,,,,,,,,,,absent-minded,modif
,negativ,,,,hostile,,,weak,,,,,,,,,,,absentee,noun
,,,,,,strong,,,,,,,,,,,,,absolute,modif
,,,,,,strong,,,,yes,,,,,,,,,absolute,ly
positiv,,active,,,,,,,,,,,,,,,,,absolve,supv
positiv,,,,,,,,,,,,,,,,,,,absorbent,modif
positiv,,,,affil,,,,,,,,,,,,,,,absorption,noun
,negativ,,,,,,,,,,,,,,,,,,absurd,modif
,negativ,,,,,,,,,,,,,,,,,,absurdity,noun
positiv,,,,,,strong,,,,,,,,,,,,,abundance,noun
positiv,,,,,,strong,,,,,,,,,,,,,abundant,modif
,negativ,active,,,hostile,,,,,,,,,,,,,,abuse,noun
,negativ,active,,,hostile,strong,,,,,,,,,,,,,abuse,supv
,negativ,,,,,,,,,,,,,,,,,,abyss,noun
positiv,,active,,affil,,,,,,,,,,,,,,,accede,supv
,,active,,,,strong,,,,,,,,,,,,,accelerate,supv
,,active,,,,strong,,,,,,,,,,,,,acceleration,noun
positiv,,active,,,,,,,,,,,,,,,,,accentuate,supv
positiv,,,passive,,,,,,submit,,,,,,,,,,accept,supv
positiv,,,,,,,,,,,,,,,,,,,acceptable,modif
positiv,,,passive,affil,,,,,,,,,,,,,,,acceptance,noun
positiv,,,,,,,,,,,,,,,,,,,accessible,modif
